"candidate_id","candidate_first_name","candidate_last_name","candidate_mobile","candidate_alternate_mobile","candidate_email","candidate_skype","candidate_linkedIn_profile","candidate_skills","candidate_experience","candidate_expected_salary","candidate_expected_joining_date","candidate_marrital_status","candidate_machine_round","candidate_technical_interview_round","candidate_hr_interview_round","candidate_selection_status","candidate_feedback","source_of_candidate","candidate_address","candidate_document_proof","tenth_percentage","twelfth_percentage","graduationPercentage","profile","created_at","updated_at","__v"
"01","Mahima","Garg","4578965241","7766554433","mahima@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","Node.js, JavaScript","3","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","Rejected","good","Universal","indore","candidate/document/1722245164646.pdf","90","99","98","01","2024-07-12T10:22:19.883Z","2024-07-29T09:26:04.653Z","0"
"02","Aparna","Garg","4578965241","7766554433","aparna@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","HTML, Python","3","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","On Hold","good","Universal","rewa","candidate/document/1722245212222.pdf","90","99","98","01","2024-07-12T10:22:36.042Z","2024-07-29T09:26:52.223Z","0"
"03","Chetna","Garg","4578965241","7766554433","chetna@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","React, Wordpress","3","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","Hired","good","Universal","katni","candidate/document/1722245239838.pdf","90","99","98","01","2024-07-12T10:22:53.749Z","2024-07-29T09:27:19.838Z","0"
"04","Shruti","Garg","4578965241","7766554433","shruti@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","Node.js, React, HTML","4","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","NA","good","Universal","jabalpur","candidate/document/1722245306256.pdf","90","99","98","01","2024-07-12T10:23:10.752Z","2024-07-29T09:28:26.261Z","0"
"05","Preeti","Garg","4578965241","7766554433","preeti@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","Node.js, React, HTML","6","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","Hired","good","Universal","test","candidate/document/1722245707707.pdf","90","99","98","01","2024-07-12T10:23:49.246Z","2024-07-29T09:35:07.709Z","0"
"06","Preet","Garg","4578965241","7766554433","preet@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","React","6","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","Rejected","good","Universal","test","candidate/document/1722262155259.pdf","90","99","98","01","2024-07-12T10:24:06.290Z","2024-07-29T14:09:15.264Z","0"
"07","Himanshu","Garg","7067424674","7766554433","himanshu@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","MERN Developer","3","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","On Hold","good","Universal","test","candidate/document/1720786623062.pdf","90","99","98","02","2024-07-12T10:26:12.262Z","2024-07-12T12:17:03.064Z","0"
"09","Aarti","Garg","7067424674","7766554433","aarti@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","MERN Developer","3","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","NA","good","Universal","test","candidate/document/1720786643244.pdf","90","99","98","02","2024-07-12T10:26:42.638Z","2024-07-12T12:17:23.245Z","0"
"10","Shivshankar","Garg","7067424674","7766554433","shivshankar@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","MERN Developer","3","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","On Hold","good","Universal","test","candidate/document/1720786652946.pdf","90","99","98","02","2024-07-12T10:27:03.401Z","2024-07-12T12:17:32.953Z","0"
"11","Urmila","Garg","7067424674","7766554433","urmila@gmail.com","live:.cid.323601a149467e45","https://www.linkedin.com/in/mahima-garg-335061298/","MERN Developer","3","1000000","2024-07-02T00:00:00.000Z","unmarried","1","1","1","Hired","good","Universal","test","candidate/document/1720785974611.pdf","90","99","98","02","2024-07-12T10:27:24.242Z","2024-07-12T12:06:14.612Z","0"
